sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes,sampleDate
PV2222,TB,rawWW,cpTP24h,,2022-12-18 11:00:00,2022-12-19 09:15:00,0.5,6.2,Yes,,,"Sample shipped on ice from site to lab by courier (overnight shipping), DELAYED",2022-12-19
PV2223,TB,rawWW,cpTP24h,,2022-12-19 08:30:00,2022-12-20 09:00:00,0.5,5.9,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-20
PV2224,LA,rawWW,cpTP24h,,2022-12-21 08:00:00,2022-12-22 08:00:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-22
PV2225,AM,rawWW,cpTP24h,,2022-12-20 06:00:00,2022-12-21 06:00:00,1.0,13.5,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-21
PV2226,AM,rawWW,cpTP24h,,2022-12-22 06:30:00,2022-12-23 06:30:00,1.0,10.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-23
PV2227,LPCC,rawWW,cpTP24h,,2022-12-20 07:00:00,2022-12-21 07:00:00,1.0,16.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-21
PV2228,LPCC,rawWW,cpTP24h,,2022-12-22 07:00:00,2022-12-23 07:00:00,1.0,15.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-23
PV2229,LRPCP,rawWW,cpTP24h,,2022-12-21 00:00:00,2022-12-22 00:00:00,1.0,15.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-22
PV2230,LRPCP,rawWW,cpTP24h,,2022-12-22 00:00:00,2022-12-23 00:00:00,1.0,14.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-23
PV2231,LRWRP,rawWW,cpTP24h,,2022-12-21 06:40:00,2022-12-22 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-22
PV2232,LRWRP,rawWW,cpTP24h,,2022-12-22 06:40:00,2022-12-23 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-23
PV2236,MQ Blank,,grb,2022-12-30 09:00:00,,,,,,,,,2022-12-30
PV2237,LA,,grb,2022-12-30 09:00:00,,,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-30
PV2238,AM,rawWW,cpTP24h,,2022-12-27 06:00:00,2022-12-28 06:00:00,1.0,11.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-28
PV2239,AM,rawWW,cpTP24h,,2022-12-29 06:00:00,2022-12-30 06:00:00,1.0,12.6,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-30
PV2240,LPCC,rawWW,cpTP24h,,2022-12-25 15:00:00,2022-12-26 11:00:00,1.0,14.4,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-26
PV2241,LPCC,rawWW,cpTP24h,,2022-12-27 13:00:00,2022-12-28 11:00:00,1.0,14.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-28
PV2242,LPCC,rawWW,cpTP24h,,2022-12-29 07:00:00,2022-12-30 07:00:00,1.0,13.7,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-30
PV2243,LRPCP,rawWW,cpTP24h,,2022-12-27 00:01:00,2022-12-27 23:59:00,1.0,12.3,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-27
PV2244,LRPCP,rawWW,cpTP24h,,2022-12-28 00:00:00,2022-12-29 00:00:00,1.0,15.4,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-29
PV2245,LRPCP,rawWW,cpTP24h,,2022-12-29 00:00:00,2022-12-30 00:00:00,1.0,15.2,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-30
PV2246,LRWRP,rawWW,cpTP24h,,2022-12-27 07:00:00,2022-12-28 07:00:00,1.0,12.9,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-28
PV2247,LRWRP,rawWW,cpTP24h,,2022-12-28 07:00:00,2022-12-29 07:00:00,1.0,12.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-29
PV2248,LRWRP,rawWW,cpTP24h,,2022-12-29 06:30:00,2022-12-30 06:30:00,1.0,13.0,Yes,,,Sample picked up at plant and transported directly to lab,2022-12-30
PV2252,MQ Blank,,grb,2023-01-04 09:00:00,,,,,,,,,2023-01-04
PV2253,TB,rawWW,cpTP24h,,2022-12-22 08:30:00,2022-12-23 08:45:00,0.5,5.4,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-23
PV2254,TB,rawWW,cpTP24h,,2022-12-27 11:00:00,2022-12-28 09:00:00,0.5,6.5,Yes,,,Sample shipped at RT from site to lab by courier (overnight shipping),2022-12-28
PV2255,LRPCP,rawWW,cpTP24h,,2023-01-02 00:00:00,2023-01-03 00:00:00,1.0,14.7,Yes,,,Sample picked up at plant and transported directly to lab,2023-01-03
PV2256,LRPCP,rawWW,cpTP24h,,2023-01-03 00:00:00,2023-01-04 00:00:00,1.0,13.8,Yes,,,Sample picked up at plant and transported directly to lab,2023-01-04
PV2257,LRWRP,rawWW,cpTP24h,,2023-01-02 06:40:00,2023-01-03 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2023-01-03
PV2258,LRWRP,rawWW,cpTP24h,,2023-01-03 06:40:00,2023-01-04 06:40:00,1.0,,Yes,,,Sample picked up at plant and transported directly to lab,2023-01-04
PV2260,CHWW,rawWW,cpTP24h,,2022-12-22 07:00:00,2022-12-23 07:00:00,0.5,7.8,Yes,,,"Sample shipped on ice from site to lab by courier (overnight shipping), DELAYED",2022-12-23
PV2261,CHWW,rawWW,cpTP24h,,2022-12-27 07:00:00,2022-12-28 07:00:00,0.5,18.4,Yes,,,"Sample shipped on ice from site to lab by courier (overnight shipping), DELAYED",2022-12-28
PV2262,TB,rawWW,cpTP24h,,2022-12-29 08:30:00,2022-12-30 08:45:00,0.5,9.5,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2022-12-30
PV2263,TB,rawWW,cpTP24h,,2023-01-02 11:00:00,2023-01-03 08:40:00,0.5,6.0,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2023-01-03
PV2271,CHWW,rawWW,cpTP24h,,2023-01-03 07:00:00,2023-01-04 07:00:00,0.5,12.84,Yes,,,Sample shipped on ice from site to lab by courier (overnight shipping),2023-01-04
PV2272,LA,rawWW,cpTP24h,,2023-01-04 08:30:00,2023-01-05 08:00:00,1.0,13.4,Yes,,,Sample picked up at plant and transported directly to lab,2023-01-05
