uSiteMeasureID,siteID,sampleID,reporterID,dateTime,type,typeOther,typeDescription,aggregation,aggregationOther,aggregationDesc,value,unit,notes,Unnamed: 14
SM_CHWW59_pH,CHWW,PV145,McKay-GLIER,2021-12-08 00:00:00,wwpH,,Field hand-held probe,max,,,8.0,,,
SM_LA85_F,LA,PV144,McKay-GLIER,2021-12-08 00:00:00,wwFlow,,Measured daily average flow,mean,,,163.4,L/s,,
SM_LA85_T,LA,PV144,McKay-GLIER,2021-12-08 00:00:00,wwTemp,,Field hand-held probe,max,,,13.9,oC,,
SM_LA85_pH,LA,PV144,McKay-GLIER,2021-12-08 00:00:00,wwpH,,Field hand-held probe,max,,,8.13,,,
SM_LRWRP176_F,LRWRP,PV154,McKay-GLIER,2021-12-13 06:30:00,wwFlow,,Measured daily average flow,mean,,,125.0,ML/D,,
SM_LRWRP176_T,LRWRP,PV154,McKay-GLIER,2021-12-13 06:30:00,wwTemp,,Field hand-held probe,max,,,13.7,oC,,
SM_LRWRP176_pH,LRWRP,PV154,McKay-GLIER,2021-12-13 06:30:00,wwpH,,Field hand-held probe,max,,,6.8,,,
SM_AM124_F,AM,PV152,McKay-GLIER,2021-12-13 06:30:00,wwFlow,,Field hand-held probe,max,,,14721.6,m3/d,,
SM_AM124_T,AM,PV152,McKay-GLIER,2021-12-13 06:30:00,wwTemp,,Field hand-held probe,max,,,6.2,oC,,
SM_AM124_pH,AM,PV152,McKay-GLIER,2021-12-13 06:30:00,wwpH,,Field hand-held probe,max,,,7.56,,,
SM_AM124_F_Spot,AM,PV152,McKay-GLIER,2021-12-13 06:30:00,wwFlow,,Field hand-held probe,max,,,569.0,m3/h,,
SM_LPCC152_F,LPCC,PV153,McKay-GLIER,2021-12-13 08:00:00,wwFlow,,Field hand-held probe,max,,,227.0,L/s,,
SM_LPCC152_T,LPCC,PV153,McKay-GLIER,2021-12-13 08:00:00,wwTemp,,Field hand-held probe,max,,,14.2,oC,,
SM_LPCC152_pH,LPCC,PV153,McKay-GLIER,2021-12-13 08:00:00,wwpH,,Field hand-held probe,max,,,7.93,,,
SM_AM125_F,AM,PV159,McKay-GLIER,2021-12-15 06:30:00,wwFlow,,Field hand-held probe,max,,,8978.4,m3/d,,
SM_AM125_T,AM,PV159,McKay-GLIER,2021-12-15 06:30:00,wwTemp,,Field hand-held probe,max,,,6.9,oC,,
SM_AM125_pH,AM,PV159,McKay-GLIER,2021-12-15 06:30:00,wwpH,,Field hand-held probe,max,,,7.71,,,
SM_AM125_F_Spot,AM,PV159,McKay-GLIER,2021-12-15 06:30:00,wwFlow,,Field hand-held probe,max,,,369.9,m3/h,,
SM_CHWW60_F,CHWW,PV160,McKay-GLIER,2021-12-13 00:00:00,wwFlow,,Measured daily average flow,mean,,,34.94,ML/D,,
SM_CHWW60_T,CHWW,PV160,McKay-GLIER,2021-12-13 00:00:00,wwTemp,,Field hand-held probe,max,,,11.4,oC,,
SM_CHWW60_pH,CHWW,PV160,McKay-GLIER,2021-12-13 00:00:00,wwpH,,Field hand-held probe,max,,,7.97,,,
SM_TB78_T,TB,PV161,McKay-GLIER,2021-12-13 09:15:00,wwTemp,,Field hand-held probe,max,,,7.5,oC,,
SM_TB78_pH,TB,PV161,McKay-GLIER,2021-12-13 09:15:00,wwpH,,Field hand-held probe,max,,,7.38,,,
SM_TB78_F,TB,PV161,McKay-GLIER,2021-12-13 09:15:00,wwFlow,,Measured daily average flow,mean,,,59.62,ML/D,,
SM_TB78_TSS,TB,PV161,McKay-GLIER,2021-12-13 09:15:00,wwTSS,,Laboratory analysis,max,,,152.8,mg/L,,
SM_LPCC153_F,LPCC,PV162,McKay-GLIER,2021-12-15 07:30:00,wwFlow,,Measured daily average flow,mean,,,282.0,L/s,,
SM_LPCC153_T,LPCC,PV162,McKay-GLIER,2021-12-15 07:30:00,wwTemp,,Field hand-held probe,max,,,15.7,oC,,
SM_LPCC153_pH,LPCC,PV162,McKay-GLIER,2021-12-15 07:30:00,wwpH,,Field hand-held probe,max,,,8.08,,,
SM_LRPCP172_F,LRPCP,PV163,McKay-GLIER,2021-12-14 23:59:00,wwFlow,,Measured daily average flow,mean,,,58120.0,m3/d,,
SM_LRPCP172_T,LRPCP,PV163,McKay-GLIER,2021-12-14 23:59:00,wwTemp,,Field hand-held probe,max,,,14.0,oC,,
SM_LRPCP172_pH,LRPCP,PV163,McKay-GLIER,2021-12-14 23:59:00,wwpH,,Field hand-held probe,max,,,7.2,,,
SM_LA86_F,LA,PV168,McKay-GLIER,2021-12-16 08:05:00,wwFlow,,Measured daily average flow,mean,,,162.9,L/s,,
SM_LA86_T,LA,PV168,McKay-GLIER,2021-12-16 08:05:00,wwTemp,,Field hand-held probe,max,,,17.9,oC,,
SM_LA86_pH,LA,PV168,McKay-GLIER,2021-12-16 08:05:00,wwpH,,Field hand-held probe,max,,,7.59,,,
SM_CHWW61_F,CHWW,PV169,McKay-GLIER,2021-12-15 00:00:00,wwFlow,,Measured daily average flow,mean,,,28.34,ML/D,,
SM_CHWW61_T,CHWW,PV169,McKay-GLIER,2021-12-15 00:00:00,wwTemp,,Field hand-held probe,max,,,14.4,oC,,
SM_CHWW61_pH,CHWW,PV169,McKay-GLIER,2021-12-15 00:00:00,wwpH,,Field hand-held probe,max,,,8.12,,,
SM_TB79_T,TB,PV170,McKay-GLIER,2021-12-15 09:20:00,wwTemp,,Field hand-held probe,max,,,7.4,oC,,
SM_TB79_pH,TB,PV170,McKay-GLIER,2021-12-15 09:20:00,wwpH,,Field hand-held probe,max,,,7.42,,,
SM_TB79_F,TB,PV170,McKay-GLIER,2021-12-15 09:20:00,wwFlow,,Measured daily average flow,mean,,,58.58,ML/D,,
SM_TB79_TSS,TB,PV170,McKay-GLIER,2021-12-15 09:20:00,wwTSS,,Laboratory analysis,max,,,,mg/L,,
SM_LPCC154_F,LPCC,PV171,McKay-GLIER,2021-12-17 07:30:00,wwFlow,,Measured daily average flow,mean,,,216.0,L/s,,
SM_LPCC154_T,LPCC,PV171,McKay-GLIER,2021-12-17 07:30:00,wwTemp,,Field hand-held probe,max,,,17.2,oC,,
SM_LPCC154_pH,LPCC,PV171,McKay-GLIER,2021-12-17 07:30:00,wwpH,,Field hand-held probe,max,,,7.78,,,
SM_LRPCP173_F,LRPCP,PV172,McKay-GLIER,2021-12-16 23:55:00,wwFlow,,Measured daily average flow,mean,,,45800.0,m3/d,,
SM_LRPCP173_T,LRPCP,PV172,McKay-GLIER,2021-12-16 23:55:00,wwTemp,,Field hand-held probe,max,,,14.8,oC,,
SM_LRPCP173_pH,LRPCP,PV172,McKay-GLIER,2021-12-16 23:55:00,wwpH,,Field hand-held probe,max,,,7.2,,,
SM_LRWRP178_F,LRWRP,PV173,McKay-GLIER,2021-12-17 07:00:00,wwFlow,,Measured daily average flow,mean,,,90.0,ML/D,,
SM_LRWRP178_T,LRWRP,PV173,McKay-GLIER,2021-12-17 07:00:00,wwTemp,,Field hand-held probe,max,,,15.0,oC,,
SM_LRWRP178_pH,LRWRP,PV173,McKay-GLIER,2021-12-17 07:00:00,wwpH,,Field hand-held probe,max,,,6.7,,,
SM_AM126_F,AM,PV178,McKay-GLIER,2021-12-20 06:30:00,wwFlow,,Field hand-held probe,max,,,9978.7,m3/d,,
SM_AM126_T,AM,PV178,McKay-GLIER,2021-12-20 06:30:00,wwTemp,,Field hand-held probe,max,,,6.4,oC,,
SM_AM126_pH,AM,PV178,McKay-GLIER,2021-12-20 06:30:00,wwpH,,Field hand-held probe,max,,,7.1,,,
SM_AM126_F_Spot,AM,PV178,McKay-GLIER,2021-12-20 06:30:00,wwFlow,,Field hand-held probe,max,,,360.0,m3/h,,
SM_LPCC155_F,LPCC,PV179,McKay-GLIER,2021-12-20 08:00:00,wwFlow,,Measured daily average flow,mean,,,199.0,L/s,,
