sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
S3.2.1.23,Midland,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S4.2.1.23,Orillia,rawWW,cpTP24h,,2023-01-01,2023-01-02,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
A02.3.1.23,Corbett,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
B03.3.1.23,Harmony,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
C04.3.1.23,Courtice,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
D05.3.1.23,Darlington,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
E06.3.1.23,Newcastle,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
F07.3.1.23,Ajax,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
G08.3.1.23,Pickering,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.3.1.23,Barrie,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S2.3.1.23,Collingwood,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
S3.3.1.23,Midland,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S4.3.1.23,Orillia,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S5.3.1.23,Bracebridge,rawWW,cpTP24h,,2023-01-02,2023-01-03,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
A02.5.1.23,Corbett,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,8.9,Yes,Samples shipped on ice from site to lab by courier
B03.5.1.23,Harmony,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,7.2,Yes,Samples shipped on ice from site to lab by courier
C04.5.1.23,Courtice,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,8.6,Yes,Samples shipped on ice from site to lab by courier
F07.5.1.23,Ajax,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
G08.5.1.23,Pickering,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S1.5.1.23,Barrie,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,11.3,Yes,Samples shipped on ice from site to lab by courier
S1.6.1.23,Barrie,rawWW,cpTP24h,,2023-01-05,2023-01-06,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
S2.4.1.23,Collingwood,rawWW,cpTP24h,,2023-01-03,2023-01-04,0.5,12.2,Yes,Samples shipped on ice from site to lab by courier
S3.5.1.23,Midland,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,11.6,Yes,Samples shipped on ice from site to lab by courier
S4.4.1.23,Orillia,rawWW,cpTP24h,,2023-01-03,2023-01-04,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S4.6.1.23,Orillia,rawWW,cpTP24h,,2023-01-05,2023-01-06,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S6.4.1.23,Penetanguishene,rawWW,cpTP24h,,2023-01-03,2023-01-04,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
S6.5.1.23,Penetanguishene,rawWW,cpTP24h,,2023-01-04,2023-01-05,0.5,12.0,Yes,Samples shipped on ice from site to lab by courier
A02.8.1.23,Corbett,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,6.0,Yes,Samples shipped on ice from site to lab by courier
B03.8.1.23,Harmony,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,6.0,Yes,Samples shipped on ice from site to lab by courier
C04.8.1.23,Courtice,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,5.0,Yes,Samples shipped on ice from site to lab by courier
D05.8.1.23,Darlington,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,9.0,Yes,Samples shipped on ice from site to lab by courier
D05.9.1.23,Darlington,rawWW,cpTP24h,,2023-01-08,2023-01-09,0.5,7.0,Yes,Samples shipped on ice from site to lab by courier
E06.8.1.23,Newcastle,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,6.0,Yes,Samples shipped on ice from site to lab by courier
E06.9.1.23,Newcastle,rawWW,cpTP24h,,2023-01-08,2023-01-09,0.5,6.0,Yes,Samples shipped on ice from site to lab by courier
F07.8.1.23,Ajax,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
G08.8.1.23,Pickering,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,10.0,Yes,Samples shipped on ice from site to lab by courier
S1.8.1.23,Barrie,rawWW,cpTP24h,,2023-01-07,2023-01-08,0.5,11.0,Yes,Samples shipped on ice from site to lab by courier
