sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
MUC2_145,MUC2,rawWW,grb,2022-12-21 07:36:00,,,,,yes,
MUC3_162,MUC3,rawWW,grb,2022-12-21 06:00:00,,,,,yes,
CBW_179,CBW,rawWW,cpTP24h,,2022-12-20 07:40:00,2022-12-21 07:39:00.000,9.5,4.4,yes,
KLW_185,KLW,rawWW,cpTP24h,,2022-12-19 10:35:00,2022-12-20 10:35:00.000,3.0,10.9,yes,
KLW_186,KLW,rawWW,cpTP24h,,2022-12-20 11:15:00,2022-12-21 10:20:00.000,3.0,8.6,yes,
STW_187,STW,rawWW,cpTP24h,,2022-12-19 08:23:00,2022-12-20 08:23:00.000,16.0,,yes,
STW_188,STW,rawWW,cpTP24h,,2022-12-20 08:40:00,2022-12-21 08:40:00.000,16.0,,yes,
CWP_170,CWP,rawWW,cpTP24h,,2022-12-18 07:05:00,2022-12-19 07:10:00.000,2.4,8.3,yes,
SWP_204,SWP,rawWW,cpTP24h,,2022-12-20 07:00:00,2022-12-21 07:00:00.000,8.0,7.3,yes,
SWP_203,SWP,rawWW,cpTP24h,,2022-12-18 07:30:00,2022-12-19 07:30:00.000,8.0,6.7,yes,
CWP_171,CWP,rawWW,cpTP24h,,2022-12-20 07:00:00,2022-12-21 07:00:00.000,2.4,6.8,yes,
BFW_187,BFW,rawWW,cpTP24h,,2022-12-20 09:00:00,2022-12-21 09:00:00.000,9.6,10.7,yes,
GWP_188,GWP,rawWW,cpTP24h,,2022-12-20 07:00:00,2022-12-21 07:00:00.000,2.4,,yes,
MSTP_092,MSTP,rawWW,cpTP24h,,2022-12-19 09:00:00,2022-12-20 09:00:00.000,,,yes,
MSTP_093,MSTP,rawWW,cpTP24h,,2022-12-20 09:00:00,2022-12-21 09:00:00.000,,,yes,
BFW_188,BFW,rawWW,cpTP24h,,2022-12-22 09:00:00,2022-12-23 09:00:00.000,9.6,9.4,yes,
BFW_189,BFW,rawWW,cpTP24h,,2022-12-25 09:00:00,2022-12-26 09:00:00.000,7.15,7.9,yes,
BFW_190,BFW,rawWW,cpTP24h,,2022-12-26 09:00:00,2022-12-27 09:00:00.000,6.99,9.3,yes,
GWP_189,GWP,rawWW,cpTP24h,,2022-12-27 10:00:00,2022-12-28 10:00:00.000,,,yes,
SWP_205,SWP,rawWW,cpTP24h,,2022-12-22 07:00:00,2022-12-23 07:00:00.000,7.29,7.2,yes,
SWP_206,SWP,rawWW,cpTP24h,,2022-12-25 07:00:00,2022-12-26 07:00:00.000,7.86,5.7,yes,
SWP_207,SWP,rawWW,cpTP24h,,2022-12-27 07:00:00,2022-12-28 07:00:00.000,7.73,6.3,yes,
STW_189,STW,rawWW,cpTP24h,,2022-12-22 08:15:00,2022-12-23 08:15:00.000,,,yes,
STW_190,STW,rawWW,grb,2022-12-27 00:04:00,,,,,yes,
CBW_180,CBW,rawWW,cpTP24h,,2022-12-27 07:00:00,2022-12-28 07:10:00.000,7.2,5.1,yes,
OWSD_152,OWSD,rawWW,cpTP24h,,2022-12-27 07:00:00,2022-12-28 07:00:00.000,,11.8,yes,
KLW_187,KLW,rawWW,cpTP24h,,2022-12-22 08:30:00,2022-12-23 08:30:00.000,7.77,9.5,yes,
STW_191,STW,rawWW,cpTP24h,,2022-12-27 08:07:00,2022-12-28 08:07:00.000,,,yes,
KLW_188,KLW,rawWW,cpTP24h,,2022-12-27 07:00:00,2022-12-28 07:00:00.000,7.68,9.2,yes,
MSTP_095,MSTP,rawWW,cpTP24h,,2022-12-28 09:00:00,2022-12-29 09:00:00.000,,,yes,
CWP_172,CWP,rawWW,cpTP24h,,2022-12-28 07:45:00,2022-12-29 07:45:00.000,7.74,11.4,No,Not cold on arrival
MUC1_156,MUC1,rawWW,grb,2023-01-04 07:22:00,,,,,yes,
MUC3_163,MUC3,rawWW,grb,2023-01-04 07:40:00,,,,,yes,
OWSD_153,OWSD,rawWW,cpTP24h,,2023-01-02 07:00:00,2022-01-03 07:00:00.000,,11.5,yes,
BFW_191,BFW,rawWW,cpTP24h,,2022-12-29 09:00:00,2022-12-30 09:00:00.000,7.82,13.7,yes,
BFW_192,BFW,rawWW,cpTP24h,,2023-01-01 09:00:00,2023-01-02 09:00:00.000,7.45,12.6,yes,
BFW_193,BFW,rawWW,cpTP24h,,2023-01-03 09:00:00,2023-01-04 09:00:00.000,7.76,11.7,yes,
SWP_208,SWP,rawWW,cpTP24h,,2022-12-29 07:30:00,2022-12-30 07:30:00.000,,6.6,yes,
SWP_209,SWP,rawWW,cpTP24h,,2023-01-01 07:30:00,2023-01-02 07:30:00.000,7.69,7.3,yes,
SWP_210,SWP,rawWW,cpTP24h,,2023-01-03 07:00:00,2023-01-04 07:00:00.000,7.69,7.4,yes,
CWP_173,CWP,rawWW,cpTP24h,,2023-01-01 07:00:00,2023-01-02 07:00:00.000,7.77,12.1,yes,
STW_193,STW,rawWW,cpTP24h,,2023-01-02 08:00:00,2023-01-03 08:00:00.000,,,yes,
KLW_190,KLW,rawWW,cpTP24h,,2023-01-03 11:50:00,2023-01-04 11:50:00.000,7.88,9.1,yes,
KLW_189,KLW,rawWW,cpTP24h,,2022-12-29 14:30:00,2022-12-30 14:30:00.000,7.46,11.1,yes,
CBW_181,CBW,rawWW,cpTP24h,,2023-01-03 07:30:00,2023-01-04 07:33:00.000,7.1,3.4,yes,
CWP_174,CWP,rawWW,cpTP24h,,2023-01-03 07:00:00,2023-01-04 07:45:00.000,7.7,12.9,yes,
STW_194,STW,rawWW,cpTP24h,,2023-01-03 08:00:00,2023-01-04 08:00:00.000,,,yes,
GWP_190,GWP,rawWW,cpTP24h,,2023-01-03 07:00:00,2023-01-04 07:00:00.000,,,yes,
MSTP_096,MSTP,rawWW,cpTP24h,,2023-01-03 00:00:00,2023-01-04 00:00:00.000,,,yes,
MUC1_157,MUC1,rawWW,grb,2022-01-06 07:00:00,,,,,yes,
MUC3_164,MUC3,rawWW,cpTP24h,,2023-01-05 06:00:00,2023-01-06 06:00:00.000,,,yes,
MSTP_097,MSTP,rawWW,cpTP24h,,2023-01-04 00:00:00,2023-01-05 00:00:00.000,,,yes,
MUC1_158,MUC1,rawWW,grb,2023-01-09 07:13:00,,,,,yes,
MUC2_149,MUC2,rawWW,grb,2023-01-09 07:21:00,,,,,yes,
MUC3_165,MUC3,rawWW,cpTP24h,,2023-01-08 06:00:00,2023-01-09 06:00:00.000,,,yes,
BFW_194,BFW,rawWW,cpTP24h,,2023-01-05 09:00:00,2023-01-06 09:00:00.000,7.71,10.9,yes,
BFW_195,BFW,rawWW,cpTP24h,,2023-01-08 09:00:00,2023-01-09 09:00:00.000,7.49,11.0,yes,
SWP_211,SWP,rawWW,cpTP24h,,2023-01-05 07:00:00,2023-01-06 07:00:00.000,7.67,7.9,yes,
SWP_212,SWP,rawWW,cpTP24h,,2023-01-08 07:00:00,2023-01-09 07:00:00.000,7.72,6.7,yes,
