sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,sentDate,recDate,notes
BMI_27,BMI Combined,rawWW,cp,2021-03-02 14:15:00,2021-02-27 00:00:00,2021-02-28 00:00:00,1.0,,Yes,,,
BMI_28,BMI Combined,rawWW,cp,2021-03-04 09:00:00,2021-02-28 00:00:00,2021-03-01 00:00:00,0.75,,Yes,,,
BMI_29,BMI Combined,rawWW,cp,2021-03-06 09:00:00,2021-03-01 00:00:00,2021-03-02 00:00:00,0.9,,Yes,,,
BMI_30,BMI Combined,rawWW,cp,2021-03-09 10:00:00,2021-03-02 00:00:00,2021-03-03 00:00:00,0.9,,Yes,,,
BMI_31,BMI Combined,rawWW,cp,2021-03-11 14:00:00,2021-03-03 00:00:00,2021-03-04 00:00:00,0.6,,Yes,,,
BMI_32,BMI Combined,rawWW,cpTP24h,2021-03-13 09:00:00,2021-03-04 00:00:00,2021-03-05 00:00:00,1.0,,Yes,,,
BMI_33,BMI Combined,rawWW,cp,2021-03-16 12:30:00,2021-03-05 00:00:00,2021-03-06 00:00:00,0.8,,Yes,,,
BMI_34,BMI Combined,rawWW,cp,2021-03-18 10:15:00,2021-03-06 00:00:00,2021-03-07 00:00:00,0.68,,Yes,,,
BMI_35,BMI Combined,rawWW,cpTP24h,2021-03-20 08:30:00,2021-03-07 00:00:00,2021-03-08 00:00:00,1.03,,Yes,,,
BMI_36,BMI Combined,rawWW,cp,2021-03-23 14:15:00,2021-03-08 00:00:00,2021-03-09 00:00:00,0.7,,Yes,,,
BMI_37,BMI Combined,rawWW,cp,2021-03-25 13:00:00,2021-03-09 00:00:00,2021-03-10 00:00:00,0.74,,Yes,,,
BMI_38,BMI Combined,rawWW,cp,2021-03-27 08:30:00,2021-03-10 00:00:00,2021-03-11 00:00:00,0.96,,Yes,,,
