sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes
CB221211,CB,rawWW,cpTP24h,,2022-12-10 00:00:00,2022-12-11 00:00:00,1,,Yes,
CB221212,CB,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1,,Yes,
KS221212,KS,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1,,Yes,
CW221212,CW,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1,,Yes,
LT221212,LT,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1,,Yes,
LT221213,LT,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
CW221207,CW,rawWW,cpTP24h,,2022-12-06 00:00:00,2022-12-07 00:00:00,1,,Yes,
RV221206,RV,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
RV221207,RV,rawWW,cpTP24h,,2022-12-06 00:00:00,2022-12-07 00:00:00,1,,Yes,
RV221208,RV,rawWW,cpTP24h,,2022-12-07 00:00:00,2022-12-08 00:00:00,1,,Yes,
CB221206,CB,rawWW,cpTP24h,,2022-12-05 00:00:00,2022-12-06 00:00:00,1,,Yes,
CB221207,CB,rawWW,cpTP24h,,2022-12-06 00:00:00,2022-12-07 00:00:00,1,,Yes,
CB221208,CB,rawWW,cpTP24h,,2022-12-07 00:00:00,2022-12-08 00:00:00,1,,Yes,
KS221208,KS,rawWW,cpTP24h,,2022-12-07 00:00:00,2022-12-08 00:00:00,1,,Yes,
MB221207,MB,rawWW,cpTP24h,,2022-12-06 00:00:00,2022-12-07 00:00:00,1,,Yes,
MB221208,MB,rawWW,cpTP24h,,2022-12-07 00:00:00,2022-12-08 00:00:00,1,,Yes,
HB221213,HB,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
HB221213,HB,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
CM221213,CM,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
CM221213,CM,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
CW221213,CW,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
CW221213,CW,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
WB221210,WB,rawWW,cpTP24h,,2022-12-09 00:00:00,2022-12-10 00:00:00,1,,Yes,
WB221212,WB,rawWW,cpTP24h,,2022-12-11 00:00:00,2022-12-12 00:00:00,1,,Yes,
MB221213,MB,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
HB221214,HB,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
CM221214,CM,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
CW221214,CW,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
WB221214,WB,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
RV221213,RV,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
RV221214,RV,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
RV221215,RV,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
CB221213,CB,rawWW,cpTP24h,,2022-12-12 00:00:00,2022-12-13 00:00:00,1,,Yes,
CB221214,CB,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
CB221215,CB,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
KS221215,KS,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
HB221215,HB,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
CM221215,CM,rawWW,cpTP24h,,2022-12-14 00:00:00,2022-12-15 00:00:00,1,,Yes,
MB221214,MB,rawWW,cpTP24h,,2022-12-13 00:00:00,2022-12-14 00:00:00,1,,Yes,
