sampleID,siteID,type,collection,dateTime,dateTimeStart,dateTimeEnd,sizeL,fieldSampleTempC,shippedOnIce,notes,sampleDate
fac2_2021May20_c5,fac2,rawWW,cpTP24h,,2021-05-19 08:55:00,2021-05-20 07:55:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-20
fac2_2021May26_c12,fac2,rawWW,cpTP24h,,2021-05-25 09:15:00,2021-05-26 08:15:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-26
fac2_2021May27_c14,fac2,rawWW,cpTP24h,,2021-05-26 09:35:00,2021-05-27 08:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-27
fac2_2021Jun01_c3,fac2,rawWW,cpTP24h,,2021-05-31 09:05:00,2021-06-01 08:05:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-01
fac2a_2021Jun29_c3,fac2a,rawWW,cpTP24h,,2021-06-28 09:05:00,2021-06-29 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-29
fac2a_2021Jun30_c11,fac2a,rawWW,cpTP24h,,2021-06-29 09:35:00,2021-06-30 07:55:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-06-30
fac2a_2021Jul08_c6,fac2a,rawWW,cpTP24h,,2021-07-07 09:10:00,2021-07-08 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-08
fac2a_2021Jul13_c7,fac2a,rawWW,cpTP24h,,2021-07-12 09:15:00,2021-07-13 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-13
fac2b_2021Jul15_c14,fac2b,rawWW,cpTP24h,,2021-07-14 09:55:00,2021-07-15 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-15
fac2b_2021Jul20_c10,fac2b,rawWW,cpTP24h,,2021-07-19 09:05:00,2021-07-20 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-20
fac2b_2021Jul22_c8,fac2b,rawWW,cpTP24h,,2021-07-21 09:05:00,2021-07-22 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-22
fac2b_2021Jul27_c8,fac2b,rawWW,cpTP24h,,2021-07-26 09:15:00,2021-07-27 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-27
fac2b_2021Jul29_c9,fac2b,rawWW,cpTP24h,,2021-07-28 09:15:00,2021-07-29 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-07-29
fac2b_2021Aug04_c14,fac2b,rawWW,cpTP24h,,2021-08-03 09:30:00,2021-08-04 07:10:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-04
fac2b_2021Aug05_c12,fac2b,rawWW,cpTP24h,,2021-08-04 09:40:00,2021-08-05 08:00:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-05
fac2b_2021Aug10_c10,fac2b,rawWW,cpTP24h,,2021-08-09 09:05:00,2021-08-10 07:25:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-10
fac2b_2021Aug12_c12,fac2b,rawWW,cpTP24h,,2021-08-11 09:15:00,2021-08-12 07:35:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-12
fac2b_2021Aug17_c14,fac2b,rawWW,cpTP24h,,2021-08-16 11:20:00,2021-08-17 09:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-17
fac2b_2021Aug19_c14,fac2b,rawWW,cpTP24h,,2021-08-18 11:25:00,2021-08-19 09:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-19
fac2b_2021Aug24_c13,fac2b,rawWW,cpTP24h,,2021-08-23 08:55:00,2021-08-24 07:15:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-24
fac2b_2021Aug26_c14,fac2b,rawWW,cpTP24h,,2021-08-25 09:00:00,2021-08-26 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-26
fac2b_2021Aug31_c14,fac2b,rawWW,cpTP24h,,2021-08-30 09:35:00,2021-08-31 07:55:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-08-31
fac2b_2021Sep02_c13,fac2b,rawWW,cpTP24h,,2021-09-01 09:00:00,2021-09-02 07:20:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-02
fac2b_2021Sep08_c3,fac2b,rawWW,cpTP24h,,2021-09-07 09:10:00,2021-09-08 07:30:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-08
fac2b_2021Sep09_c3,fac2b,rawWW,cpTP24h,,2021-09-08 09:45:00,2021-09-09 08:05:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-09
fac2b_2021Sep14_c7,fac2b,rawWW,cpTP24h,,2021-09-13 09:30:00,2021-09-14 07:50:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-14
fac2b_2021Sep16_b2,fac2b,rawWW,cpTP24h,,2021-09-15 09:25:00,2021-09-16 07:45:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-16
fac2b_2021Sep21_c14,fac2b,rawWW,cpTP24h,,2021-09-20 09:10:00,2021-09-21 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-21
fac2b_2021Sep23_c14,fac2b,rawWW,cpTP24h,,2021-09-22 09:45:00,2021-09-23 08:05:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-23
fac2b_2021Sep28_c14,fac2b,rawWW,cpTP24h,,2021-09-27 09:20:00,2021-09-28 07:40:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-09-28
fac3_2021May12_b3,fac3,rawWW,cpgrb,,2021-05-12 09:30:00,2021-05-12 09:50:00,1.0,4,Yes,Samples collected at ambient temperature and shipped to Ryerson lab same day on ice.,2021-05-12
